|IMDB_titleID|category|title|release_year|seasons|movie_duration|average_rating|number_rating|director|casting|country|date_added|parental_guideline|listed_in|summary
5128|/title/tt3398976/|TV Show|Knights of Sidonia|2015|2||7.8|3808||Ryota Osaka, Aya Suzaki, Aki Toyosaki, Takahiro Sakurai, Hisako Kanemoto, Eri Kitamura, Sayaka Ohara, Tomohiro Tsuboi, Takehito Koyasu, Satomi Arai, Atsuko Tanaka, Nanako Mori, Takako Honda, Kohsuke Toriumi, Ayane Sakura, Osamu Saka|Japan| December 1, 2019|TV-MA|Anime Series, International TV Shows|A hero rises to save a world that's also a spaceship under siege by an alien threat in this original anime series based on the popular manga comic.
5129|/title/tt0367413/|TV Show|Sonic X|2004|4||6.1|3264||Suzanne Goldish, Dan Green, Jason Anthony Griffith, Rebecca Honig, Lisa Ortiz, Amy Palant, Mike Pollock, Jack Quevas|Japan| December 1, 2019|TV-Y7|Anime Series, Kids' TV|While battling the evil Dr. Eggman, Sonic gets caught in an explosion that sends him, his pals and his enemy to the unfamiliar planet Earth. With the help of a young boy, Sonic sets out to find the powerful Chaos Emeralds and defeat Dr. Eggman.
5130|/title/tt6685272/|TV Show|The Repair Shop|2018|2||8.7|388|||United Kingdom| December 1, 2019|PG|British TV Shows, Reality TV|Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories.
5131|/title/tt2558816/|TV Show|Eastsiders|2018|4||6.7|1842||Kit Williamson, Van Hansis, Constance Wu, Matthew McKelligon, John Halbach, Stephen Guarino|United States| December 1, 2019|TV-MA|TV Comedies, TV Dramas|Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.
5132|/title/tt2490030/|TV Show|Sensitive Skin|2016|1||7.2|927||Kim Cattrall, Don McKellar, Nicolas Wright, Joanna Gleason, Colm Feore, Clé Bennett, Bob Martin, Elliott Gould|Canada| December 1, 2019|TV-MA|TV Comedies|Davina and Al try to revamp their lives as they struggle with the uncertainties of middle age in this darkly comic adaptation of the British hit.
5133|/title/tt4695902/|TV Show|Great Interior Design Challenge|2016|2||7.3|386||Tom Dyckhoff, Daniel Hopwood, Sophie Robinson|United Kingdom| December 1, 2018|TV-PG|British TV Shows, International TV Shows, Reality TV|In this reality series, amateur interior designers on tight budgets test their mettle transforming rooms with speed and style.
5134|/title/tt4216980/|TV Show|The Great British Baking Show: Masterclass|2018|4||8.1|11||Mary Berry, Paul Hollywood|United Kingdom| December 1, 2018|TV-PG|British TV Shows, Reality TV|Hosts Mary Berry and Paul Hollywood leave the tent and go into the kitchen to put their professional spin on baking techniques used in the show.
5135|/title/tt3807022/|TV Show|All Hail King Julien|2017|5||7.2|1310||Danny Jacobs, Andy Richter, Henry Winkler, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, David Krumholtz, Diedrich Bader, Debra Wilson, Sarah Thyre, Betsy Sodaro|United States| December 1, 2017|TV-Y7-FV|Kids' TV, TV Comedies|In this Emmy winner for Outstanding Children's Animated Program, Madagascar booty-shaker King Julien takes on the jungle’s craziest adventures.
5136|/title/tt3600266/|TV Show|Super Wings|2017|2||6.2|172||Luca Padovan, Evan Smolin, Junah Jang, Colin Critchley|United States, South Korea, China| December 1, 2017|TV-Y|Kids' TV, Korean TV Shows|A cheerful jet and his transforming pals strive to find peaceful solutions to their problems while delivering packages to children around the globe.
5137|/title/tt2543328/|TV Show|TURN: Washington's Spies|2017|4||8.1|18230||Jamie Bell, Seth Numrich, Daniel Henshall, Heather Lind, Meegan Warner, Kevin McNally, Burn Gorman, Angus Macfadyen, JJ Feild, Samuel Roukin|United States| December 1, 2017|TV-14|TV Dramas|Set in 1778, this period drama recounts the story of Abe Woodhull, an American cabbage farmer obliged to begin spying on the British enemy.
5138|/title/tt5674718/|TV Show|Cable Girls|2019|4||7.8|9064||Blanca Suárez, Nadia de Santiago, Ana Fernández, Maggie Civantos, Ana Polvorosa, Yon González, Martiño Rivas, Nico Romero, Borja Luna, Sergio Mur, Concha Velasco, Antonio Velázquez, Ernesto Alterio, Ira del Río, Angela Cremonte, Andrea Carballo|Spain| August 9, 2019|TV-MA|International TV Shows, Romantic TV Shows, Spanish-Language TV Shows|In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace.
